Date,Open,High,Low,Close,Volume
2025-10-17 18:35:00,4253.7,4258.96,4252.59,4254.21,3273
2025-10-17 18:40:00,4254.23,4258.01,4251.52,4255.6,3044
2025-10-17 18:45:00,4255.61,4256.42,4245.31,4246.1,3111
2025-10-17 18:50:00,4246.12,4249.15,4241.57,4245.6,3785
2025-10-17 18:55:00,4245.63,4247.93,4236.62,4237.7,4020
2025-10-17 19:00:00,4237.71,4244.99,4234.99,4242.24,4481
2025-10-17 19:05:00,4242.28,4243.11,4225.58,4227.62,5265
2025-10-17 19:10:00,4227.63,4237.81,4227.54,4234.21,4309
2025-10-17 19:15:00,4234.16,4239.34,4226.29,4232.15,4579
2025-10-17 19:20:00,4232.04,4239.15,4229.01,4229.38,3588
2025-10-17 19:25:00,4229.46,4230.03,4215.26,4215.26,5212
2025-10-17 19:30:00,4215.41,4220.44,4205.93,4213.72,6710
2025-10-17 19:35:00,4213.73,4217.81,4207.55,4217.32,5230
2025-10-17 19:40:00,4217.31,4221.36,4207.5,4208.48,4890
2025-10-17 19:45:00,4208.69,4216.82,4203.57,4216.28,5384
2025-10-17 19:50:00,4216.3,4220.57,4205.48,4211.39,5891
2025-10-17 19:55:00,4211.31,4211.32,4200.61,4205.06,5901
2025-10-17 20:00:00,4205.07,4209.53,4185.91,4195.04,6773
2025-10-17 20:05:00,4195.05,4203.58,4192.18,4193.4,5901
2025-10-17 20:10:00,4193.47,4206.86,4193.39,4206.77,4700
2025-10-17 20:15:00,4206.79,4206.79,4199.27,4203.67,5374
2025-10-17 20:20:00,4203.62,4214.22,4199.06,4209.0,6102
2025-10-17 20:25:00,4208.86,4210.19,4200.76,4201.16,5080
2025-10-17 20:30:00,4201.44,4205.76,4196.61,4202.8,3626
2025-10-17 20:35:00,4202.94,4213.19,4202.73,4212.0,3976
2025-10-17 20:40:00,4212.03,4228.4,4211.23,4222.39,5114
2025-10-17 20:45:00,4222.37,4226.06,4216.88,4224.82,4427
2025-10-17 20:50:00,4224.82,4224.98,4219.58,4219.78,3676
2025-10-17 20:55:00,4219.76,4223.61,4217.68,4221.2,4239
2025-10-17 21:00:00,4221.23,4230.05,4218.28,4229.5,4429
2025-10-17 21:05:00,4229.49,4238.66,4227.36,4236.48,4566
2025-10-17 21:10:00,4236.45,4241.59,4230.84,4233.64,4815
2025-10-17 21:15:00,4233.65,4240.11,4231.44,4239.31,3976
2025-10-17 21:20:00,4239.29,4241.97,4235.39,4236.86,3970
2025-10-17 21:25:00,4236.82,4244.47,4235.7,4244.34,3540
2025-10-17 21:30:00,4244.36,4244.46,4236.96,4239.48,3293
2025-10-17 21:35:00,4239.57,4244.02,4239.57,4241.56,3241
2025-10-17 21:40:00,4241.55,4242.7,4234.48,4234.75,3184
2025-10-17 21:45:00,4234.74,4241.12,4234.72,4240.67,3496
2025-10-17 21:50:00,4240.69,4242.36,4234.86,4235.26,3060
2025-10-17 21:55:00,4235.3,4235.87,4232.36,4235.8,3669
2025-10-17 22:00:00,4235.79,4238.01,4232.73,4233.25,3565
2025-10-17 22:05:00,4233.36,4237.78,4230.54,4230.56,3383
2025-10-17 22:10:00,4230.54,4231.73,4222.78,4223.87,3646
2025-10-17 22:15:00,4224.14,4225.42,4212.79,4214.15,4162
2025-10-17 22:20:00,4214.11,4224.51,4214.09,4221.09,4166
2025-10-17 22:25:00,4221.06,4221.96,4214.78,4216.7,3800
2025-10-17 22:30:00,4216.95,4228.86,4216.86,4226.91,3999
2025-10-17 22:35:00,4226.92,4228.18,4222.7,4225.05,3237
2025-10-17 22:40:00,4225.07,4225.76,4221.63,4221.97,2831
2025-10-17 22:45:00,4221.95,4223.66,4219.85,4221.64,3503
2025-10-17 22:50:00,4221.61,4228.09,4218.85,4219.56,4126
2025-10-17 22:55:00,4219.58,4231.64,4218.61,4226.13,5361
2025-10-17 23:00:00,4226.09,4234.48,4220.11,4220.88,4307
2025-10-17 23:05:00,4221.03,4233.35,4220.99,4232.09,2760
2025-10-17 23:10:00,4232.06,4233.8,4229.74,4232.25,2398
2025-10-17 23:15:00,4232.23,4237.45,4231.45,4235.71,2578
2025-10-17 23:20:00,4235.53,4239.13,4233.53,4237.38,2118
2025-10-17 23:25:00,4237.39,4246.22,4237.08,4245.54,2127
2025-10-17 23:30:00,4245.6,4245.75,4242.49,4244.04,2161
2025-10-17 23:35:00,4243.79,4248.03,4242.77,4246.65,1801
2025-10-17 23:40:00,4246.68,4248.06,4243.7,4247.2,1524
2025-10-17 23:45:00,4247.18,4250.49,4246.39,4247.36,1764
2025-10-17 23:50:00,4247.34,4248.67,4243.89,4247.17,1536
2025-10-17 23:55:00,4247.12,4252.68,4246.98,4252.53,614
2025-10-20 01:00:00,4246.78,4274.81,4239.5,4264.62,3892
2025-10-20 01:05:00,4264.76,4267.12,4252.0,4254.08,3499
2025-10-20 01:10:00,4254.04,4263.68,4254.04,4259.48,2615
2025-10-20 01:15:00,4259.41,4267.77,4255.15,4267.36,2460
2025-10-20 01:20:00,4267.25,4268.05,4256.82,4261.34,2324
2025-10-20 01:25:00,4261.37,4262.65,4256.72,4259.99,1124
2025-10-20 01:30:00,4259.98,4259.98,4246.57,4250.8,2165
2025-10-20 01:35:00,4250.81,4255.48,4248.32,4255.11,1967
2025-10-20 01:40:00,4255.08,4258.71,4254.2,4257.13,1335
2025-10-20 01:45:00,4257.11,4262.13,4254.73,4261.87,866
2025-10-20 01:50:00,4262.0,4262.2,4254.63,4255.93,1413
2025-10-20 01:55:00,4255.94,4257.64,4253.83,4255.85,752
2025-10-20 02:00:00,4255.83,4256.27,4252.04,4254.79,821
2025-10-20 02:05:00,4254.77,4255.23,4249.85,4252.32,1748
2025-10-20 02:10:00,4252.31,4252.58,4243.08,4244.02,2901
2025-10-20 02:15:00,4243.99,4246.67,4239.59,4245.94,2645
2025-10-20 02:20:00,4245.92,4249.27,4243.63,4245.0,2562
2025-10-20 02:25:00,4245.02,4247.59,4241.01,4247.58,2315
2025-10-20 02:30:00,4247.55,4247.58,4243.53,4244.79,831
2025-10-20 02:35:00,4244.81,4248.07,4244.0,4247.35,1798
2025-10-20 02:40:00,4247.38,4247.38,4243.51,4245.76,1231
2025-10-20 02:45:00,4245.6,4246.49,4239.27,4239.71,2050
2025-10-20 02:50:00,4239.66,4243.2,4233.43,4242.79,2865
2025-10-20 02:55:00,4242.78,4244.88,4238.08,4238.08,1617
2025-10-20 03:00:00,4238.09,4242.71,4236.03,4236.7,2652
2025-10-20 03:05:00,4236.67,4238.88,4234.42,4237.91,3270
2025-10-20 03:10:00,4237.9,4237.91,4224.54,4225.3,3396
2025-10-20 03:15:00,4225.29,4232.34,4221.81,4232.34,3165
2025-10-20 03:20:00,4232.32,4236.0,4227.65,4227.68,2441
2025-10-20 03:25:00,4227.65,4227.88,4219.02,4222.66,2575
2025-10-20 03:30:00,4222.69,4230.09,4220.91,4226.78,2222
2025-10-20 03:35:00,4226.8,4240.48,4226.64,4238.15,2476
2025-10-20 03:40:00,4238.16,4244.18,4232.13,4241.08,3111
2025-10-20 03:45:00,4241.07,4246.06,4239.34,4244.44,3059
2025-10-20 03:50:00,4244.38,4248.52,4243.51,4246.17,2361
2025-10-20 03:55:00,4246.11,4250.71,4244.8,4249.33,2606
2025-10-20 04:00:00,4249.39,4249.92,4231.94,4234.08,4822
2025-10-20 04:05:00,4234.07,4239.07,4229.47,4238.94,3733
2025-10-20 04:10:00,4238.83,4255.45,4237.52,4255.2,3751
2025-10-20 04:15:00,4255.18,4259.68,4253.14,4254.98,2937
2025-10-20 04:20:00,4255.09,4256.2,4248.57,4255.83,3227
2025-10-20 04:25:00,4255.88,4264.61,4253.88,4262.59,3069
2025-10-20 04:30:00,4262.55,4262.81,4255.86,4259.13,3572
2025-10-20 04:35:00,4259.14,4262.28,4255.97,4257.58,3819
2025-10-20 04:40:00,4257.57,4266.17,4256.91,4265.9,2940
2025-10-20 04:45:00,4265.92,4266.47,4262.05,4266.27,2378
2025-10-20 04:50:00,4266.28,4268.72,4259.01,4262.93,2923
2025-10-20 04:55:00,4262.89,4264.47,4258.58,4262.3,1657
2025-10-20 05:00:00,4262.31,4265.27,4259.42,4263.02,2135
2025-10-20 05:05:00,4263.0,4264.07,4258.66,4259.89,2134
2025-10-20 05:10:00,4260.07,4264.95,4259.74,4262.54,2349
2025-10-20 05:15:00,4262.52,4264.64,4259.7,4262.17,1508
2025-10-20 05:20:00,4262.15,4265.02,4260.36,4264.03,1052
2025-10-20 05:25:00,4264.2,4267.12,4262.44,4266.69,1291
2025-10-20 05:30:00,4266.48,4270.96,4265.62,4266.09,2512
2025-10-20 05:35:00,4265.97,4271.16,4263.02,4263.56,2782
2025-10-20 05:40:00,4263.57,4265.3,4260.65,4260.75,2768
2025-10-20 05:45:00,4260.73,4262.2,4258.42,4261.52,2317
2025-10-20 05:50:00,4261.5,4261.57,4255.79,4256.27,2155
2025-10-20 05:55:00,4256.26,4256.87,4253.35,4255.62,2180
2025-10-20 06:00:00,4255.68,4256.92,4252.05,4252.92,2621
2025-10-20 06:05:00,4252.91,4258.08,4252.23,4257.43,2184
2025-10-20 06:10:00,4257.45,4259.63,4253.35,4253.4,1835
2025-10-20 06:15:00,4253.42,4260.68,4252.03,4259.85,1919
2025-10-20 06:20:00,4259.84,4262.48,4259.84,4261.65,1360
2025-10-20 06:25:00,4261.59,4261.59,4254.33,4254.64,1281
2025-10-20 06:30:00,4254.59,4255.72,4251.69,4252.25,1424
2025-10-20 06:35:00,4252.26,4254.68,4248.76,4254.61,1739
2025-10-20 06:40:00,4254.64,4257.4,4252.41,4255.22,1593
2025-10-20 06:45:00,4255.2,4258.76,4254.57,4257.29,1806
2025-10-20 06:50:00,4257.32,4265.14,4257.32,4264.29,1716
2025-10-20 06:55:00,4264.2,4265.32,4263.28,4264.42,1385
2025-10-20 07:00:00,4264.49,4267.1,4260.28,4263.11,1876
2025-10-20 07:05:00,4263.07,4263.45,4260.53,4262.45,1249
2025-10-20 07:10:00,4262.48,4263.87,4261.07,4261.73,1625
2025-10-20 07:15:00,4261.74,4263.91,4261.59,4262.25,1241
2025-10-20 07:20:00,4262.29,4265.0,4261.87,4262.72,649
2025-10-20 07:25:00,4262.71,4264.79,4260.44,4264.34,1215
2025-10-20 07:30:00,4264.35,4266.02,4262.74,4262.74,930
2025-10-20 07:35:00,4262.65,4267.2,4262.29,4266.98,895
2025-10-20 07:40:00,4267.01,4268.54,4265.88,4266.52,636
2025-10-20 07:45:00,4266.44,4267.65,4265.43,4267.27,568
2025-10-20 07:50:00,4267.23,4267.61,4265.48,4265.48,584
2025-10-20 07:55:00,4265.51,4266.33,4264.61,4266.03,619
2025-10-20 08:00:00,4265.98,4266.45,4264.51,4265.01,931
2025-10-20 08:05:00,4264.98,4266.05,4262.55,4263.56,1181
2025-10-20 08:10:00,4263.59,4263.83,4258.81,4261.84,2220
2025-10-20 08:15:00,4261.81,4263.47,4258.22,4258.29,1755
2025-10-20 08:20:00,4258.38,4258.59,4247.59,4251.36,2659
2025-10-20 08:25:00,4251.32,4257.48,4250.73,4257.35,1716
2025-10-20 08:30:00,4257.38,4260.47,4254.38,4257.13,2883
2025-10-20 08:35:00,4257.15,4259.58,4250.32,4251.0,2861
2025-10-20 08:40:00,4250.94,4255.17,4250.25,4255.07,2429
2025-10-20 08:45:00,4255.08,4255.83,4246.7,4248.04,2612
2025-10-20 08:50:00,4248.05,4253.03,4243.44,4246.1,2969
2025-10-20 08:55:00,4246.2,4246.35,4239.89,4239.99,2742
2025-10-20 09:00:00,4240.16,4241.58,4231.46,4233.03,4100
2025-10-20 09:05:00,4233.01,4241.97,4233.01,4240.8,2985
2025-10-20 09:10:00,4240.82,4244.73,4238.57,4244.1,3257
2025-10-20 09:15:00,4244.08,4245.66,4237.79,4237.79,2192
2025-10-20 09:20:00,4237.76,4238.5,4232.58,4236.64,3003
2025-10-20 09:25:00,4236.58,4237.27,4225.86,4226.36,3232
2025-10-20 09:30:00,4226.38,4234.92,4221.43,4234.64,3912
2025-10-20 09:35:00,4234.66,4240.76,4234.66,4239.56,2590
2025-10-20 09:40:00,4239.57,4240.12,4233.66,4234.24,3323
2025-10-20 09:45:00,4234.15,4237.35,4231.67,4233.91,3148
